id,name,slug,parent_id,hide_from_varejo,bling_id,company_id
1,ACESSORIOS PARA NARGUILE,acessorios-para-narguile,,,9532131,
2,ESSENCIAS DE NARGUILE,essencias-de-narguile,,,9532262,
3,HEADSHOP,headshop,,,9533889,
4,CARVÃO CAIXA MASTER,carvao-caixa-master,,,9533900,
5,CHARUTOS E ACESSORIOS,charutos-e-acessorios,,,9533904,
6,CIGARROS / PALHEIROS,cigarros-palheiros,,,9533909,
7,ISQUEIROS MAÇARICOS E ACESSORIOS,isqueiros-macaricos-e-acessorios,,,9533950,
8,NARGUILES COMPLETOS,narguiles-completos,,,9533976,
9,TABACO DESFIADO E RAPÉ,tabaco-desfiado-e-rape,,,9533999,
10,MESA PARA NARGUILE,mesa-para-narguile,1,,10227354,
11,PEGADORES,pegadores,1,,10227840,
12,FOGAREIRO E HOLDERS,fogareiro-e-holders,1,,10230122,
13,PITEIRAS DE ALUMINIO E HIGIENICAS,piteiras-de-aluminio-e-higienicas,1,,10233667,
14,PRATOS PARA NARGUILE,pratos-para-narguile,1,,10234420,
15,FURADORES PARA NARGUILE,furadores-para-narguile,1,,10234752,
16,ABAFADOR PARA NARGUILE,abafador-para-narguile,1,,10234981,
17,BOLINHAS E RESPIROS,bolinhas-e-respiros,1,,10235270,
18,CONTROLADORES DE CALOR,controladores-de-calor,1,,10235644,
19,ESCOVAS,escovas,1,,10235752,
20,HOOVER,hoover,1,,10237422,
21,BORRACHAS,borrachas,1,,10237838,
22,TAPETES,tapetes,1,,10237984,
23,ZIGGY,ziggy,2,,10732467,
24,MAGIC,magic,2,,10802949,
25,ZOMO,zomo,2,,10802952,
26,IGNITE,ignite,2,,10802953,
27,ADALYA,adalya,2,,10802958,
28,SMYRNA,smyrna,2,,10802960,
29,AZURE,azure,2,,10802965,
30,BUZZ,buzz,2,,10802966,
31,FUSION,fusion,2,,10802971,
32,NAY,nay,2,,10802972,
33,MANGUEIRAS E PITEIRAS,mangueiras-e-piteiras,1,,10836617,
34,PAPEL ALUMÍNIO,papel-aluminio,1,,10836618,
35,ROSH,rosh,1,,10836622,
36,VASOS,vasos,1,,10836629,
37,STEAM (CORPO),steam-corpo,1,,10932434,
38,ARMARINHO E BRINDES,armarinho-e-brindes,,,10962858,
39,SENSE,sense,2,,11156468,
40,BLUE HORSE,blue-horse,2,,11156501,
41,CHICLETES,chicletes,,,12060117,
42,SEDAS,sedas,3,,12072374,
43,CUIAS,cuias,3,,12072675,
44,SLICKS,slicks,3,,12072918,
45,CINZEIROS,cinzeiros,3,,12073006,
46,BLUNTS,blunts,3,,12073148,
47,PITEIRA DE PAPEL,piteira-de-papel,3,,12073269,
48,PITEIRAS DE VIDRO,piteiras-de-vidro,3,,12073424,
49,CASES E KITS COMPLETO,cases-e-kits-completo,3,,12073564,
50,PORTA CIGARRO TUBECK,porta-cigarro-tubeck,3,,12073608,
51,BOLADORES,boladores,3,,12074199,
52,TESOURAS,tesouras,3,,12074413,
53,FILTROS,filtros,3,,12074418,
54,BANDEJAS,bandejas,3,,12074542,
55,DICHAVADORES,dichavadores,3,,12074556,
56,BONGS,bongs,3,,12074575,
57,CACHIMBOS E PIPES,cachimbos-e-pipes,,,12074706,
58,POTES HERMETICOS,potes-hermeticos,3,,12074742,
59,ONIXX,onixx,2,,12147538,
60,BALANÇAS DE PRECISÃO,balancas-de-precisao,3,,12582890,
61,HAZE,haze,2,,12597424,
